Export Channel Data with rate of 256 samples per second.

Client: UwB - PW 	Channel Set: PI MT 1EEG-Physio-HRV FB.chs
Session Date: 2020-07-03		Session Time: 15:06:06
Start Time: 00:00:00.000		End Time: 00:00:43.875

Time,EEG-Z - 1C,EEG-Z - 1D
 ,256,256
0.00390625000,-9.134,9.943
0.00781250000,-14.674,23.952
0.01171875000,-2.659,0.776
0.01562500000,7.212,-19.123
0.01953125000,9.509,-20.520
0.02343750000,7.811,-9.566
0.02734375000,7.533,-4.149
0.03125000000,10.983,-3.140
0.03515625000,6.443,3.172
0.03906250000,-1.198,6.752
0.04296875000,1.675,0.683
0.04687500000,9.289,-3.448
0.05078125000,7.689,1.535
0.05468750000,-0.974,7.763
0.05859375000,-3.144,5.828
0.06250000000,3.514,-3.300
0.06640625000,7.283,-7.350
0.07031250000,5.985,0.447
0.07421875000,6.290,7.844
0.07812500000,6.516,4.951
0.08203125000,2.997,0.371
0.08593750000,0.836,-1.870
0.08984375000,4.580,0.528
0.09375000000,7.436,5.815
0.09765625000,5.944,4.595
0.10156250000,4.913,1.019
0.10546875000,1.946,-0.551
0.10937500000,-0.272,-0.049
0.11328125000,-0.082,2.732
0.11718750000,3.377,4.059
0.12109375000,5.821,1.988
0.12500000000,4.394,2.312
0.12890625000,2.518,3.538
0.13281250000,5.537,2.689
0.13671875000,7.924,2.204
0.14062500000,4.220,5.812
0.14453125000,-0.356,11.962
0.14843750000,-0.630,14.278
0.15234375000,1.065,12.041
0.15625000000,0.828,7.464
0.16015625000,0.497,4.688
0.16406250000,1.458,7.996
0.16796875000,3.710,13.035
0.17187500000,8.976,8.751
0.17578125000,7.809,3.037
0.17968750000,0.313,7.498
0.18359375000,-2.566,13.835
0.18750000000,-3.094,12.913
0.19140625000,-5.237,9.182
0.19531250000,-4.955,4.197
0.19921875000,-3.548,5.855
0.20312500000,-2.969,13.852
0.20703125000,-3.358,15.374
0.21093750000,-4.845,12.588
0.21484375000,-7.036,10.860
0.21875000000,-10.045,9.383
0.22265625000,-12.483,6.303
0.22656250000,-13.893,6.150
0.23046875000,-15.779,7.880
0.23437500000,-15.071,7.602
0.23828125000,-10.778,7.022
0.24218750000,-7.011,3.244
0.24609375000,-8.319,-0.879
0.25000000000,-12.329,1.695
0.25390625000,-13.013,3.920
0.25781250000,-10.875,2.012
0.26171875000,-8.262,1.975
0.26562500000,-8.881,1.657
0.26953125000,-13.613,3.030
0.27343750000,-15.167,5.374
0.27734375000,-7.578,4.772
0.28125000000,-0.200,5.178
0.28515625000,2.370,9.405
0.28906250000,-1.182,10.944
0.29296875000,-7.184,11.020
0.29687500000,-7.761,15.784
0.30078125000,-2.721,15.095
0.30468750000,-1.100,5.882
0.30859375000,-4.539,0.008
0.31250000000,-5.202,2.173
0.31640625000,-5.097,5.869
0.32031250000,-4.397,6.595
0.32421875000,-3.574,4.295
0.32812500000,-1.867,-0.903
0.33203125000,-0.275,-0.784
0.33593750000,-1.597,3.908
0.33984375000,-1.889,5.147
0.34375000000,-0.370,4.209
0.34765625000,-0.714,5.389
0.35156250000,-2.736,6.145
0.35546875000,-2.037,6.557
0.35937500000,-0.276,6.423
0.36328125000,-1.288,8.283
0.36718750000,-1.338,9.889
0.37109375000,3.353,4.312
0.37500000000,5.997,-0.976
0.37890625000,3.465,0.436
0.38281250000,-0.125,3.025
